"CA Name"	"Root Certificate"	"SHA-1 Thumbprint"	"SHA-256 Thumbprint"
"A-Trust"	"A-Trust-Qual-02"	"CD:78:7A:3D:5C:BA:82:07:08:28:48:36:5E:9A:CD:E9:68:33:64:D8"	"F2:86:30:BA:BF:25:6E:56:7B:58:21:06:9F:CF:13:14:8A:B9:A2:3E:28:FC:0D:70:61:5A:AE:6E:D2:84:F4:C8"
"A-Trust"	"A-Trust-Qual-03a"	"42:EF:DD:E6:BF:F3:5E:D0:BA:E6:AC:DD:20:4C:50:AE:86:C4:F4:FA"	"6B:AF:50:AE:34:67:EF:F3:C3:5F:EF:DC:76:A0:2A:97:FA:B6:26:77:23:ED:A9:1E:99:F1:B3:DC:2B:28:F8:2E"
"A-Trust"	"A-Trust-Root-05"	"2E:66:C9:84:11:81:C0:8F:B1:DF:AB:D4:FF:8D:5C:C7:2B:E0:8F:02"	"2D:DE:9D:0C:0A:90:E7:B3:2B:5A:BC:01:F4:17:99:D4:2E:95:A1:E3:C3:1C:3B:39:37:3B:B8:14:1E:A5:44:71"
"A-Trust"		"4C:AE:E3:89:31:D1:9A:E7:3B:31:AA:75:CA:33:D6:21:29:0F:A7:5E"	"86:88:E5:8F:4C:7A:94:5F:AD:CE:7F:62:BF:EF:52:1B:82:DA:7D:C3:8B:FD:B0:16:34:78:A5:FE:42:E5:78:70"
"AC Camerfirma, S.A."	"Chambers of Commerce Root"	"6E:3A:55:A4:19:0C:19:5C:93:84:3C:C0:DB:72:2E:31:30:61:F0:B1"	"0C:25:8A:12:A5:67:4A:EF:25:F2:8B:A7:DC:FA:EC:EE:A3:48:E5:41:E6:F5:CC:4E:E6:3B:71:B3:61:60:6A:C3"
"AC Camerfirma, S.A."	"Chambers of Commerce Root - 2008"	"78:6A:74:AC:76:AB:14:7F:9C:6A:30:50:BA:9E:A8:7E:FE:9A:CE:3C"	"06:3E:4A:FA:C4:91:DF:D3:32:F3:08:9B:85:42:E9:46:17:D8:93:D7:FE:94:4E:10:A7:93:7E:E2:9D:96:93:C0"
"AC Camerfirma, S.A."	"Chambers of Commerce Root - 2016"	"2D:E1:6A:56:77:BA:CA:39:E1:D6:8C:30:DC:B1:4A:BE:22:A6:17:9B"	"04:F1:BE:C3:69:51:BC:14:54:A9:04:CE:32:89:0C:5D:A3:CD:E1:35:6B:79:00:F6:E6:2D:FA:20:41:EB:AD:51"
"AC Camerfirma, S.A."	"Global Chambersign Root"	"33:9B:6B:14:50:24:9B:55:7A:01:87:72:84:D9:E0:2F:C3:D2:D8:E9"	"EF:3C:B4:17:FC:8E:BF:6F:97:87:6C:9E:4E:CE:39:DE:1E:A5:FE:64:91:41:D1:02:8B:7D:11:C0:B2:29:8C:ED"
"AC Camerfirma, S.A."	"Global Chambersign Root - 2008"	"4A:BD:EE:EC:95:0D:35:9C:89:AE:C7:52:A1:2C:5B:29:F6:D6:AA:0C"	"13:63:35:43:93:34:A7:69:80:16:A0:D3:24:DE:72:28:4E:07:9D:7B:52:20:BB:8F:BD:74:78:16:EE:BE:BA:CA"
"AC Camerfirma, S.A."	"GLOBAL CHAMBERSIGN ROOT - 2016"	"11:39:A4:9E:84:84:AA:F2:D9:0D:98:5E:C4:74:1A:65:DD:5D:94:E2"	"C1:D8:0C:E4:74:A5:11:28:B7:7E:79:4A:98:AA:2D:62:A0:22:5D:A3:F4:19:E5:C7:ED:73:DF:BF:66:0E:71:09"
"Actalis"	"Actalis Authentication Root CA"	"F3:73:B3:87:06:5A:28:84:8A:F2:F3:4A:CE:19:2B:DD:C7:8E:9C:AC"	"55:92:60:84:EC:96:3A:64:B9:6E:2A:BE:01:CE:0B:A8:6A:64:FB:FE:BC:C7:AA:B5:AF:C1:55:B3:7F:D7:60:66"
"Agencia Notarial de Certificación (ANCERT)"	"ANCERT Certificados CGN V2"	"7E:B1:A0:42:9B:E5:F4:28:AC:2B:93:97:1D:7C:84:48:A5:36:07:0C"	"F4:33:6B:C2:AC:75:95:0B:EC:CF:1C:1F:2F:9D:A6:DD:DA:FD:1F:41:16:1C:A7:1F:59:C7:68:89:BD:47:40:33"
"Agencia Notarial de Certificación (ANCERT)"	"ANCERT Certificados Notariales V2"	"6F:62:DE:B8:6C:85:58:5A:E4:2E:47:8D:B4:D7:6D:B3:67:58:5A:E6"	"4B:E8:B5:A1:C7:6C:6A:EA:D0:61:19:18:FC:CF:9D:BD:39:8B:67:FB:12:29:47:58:BD:F9:94:D0:F9:68:2F:60"
"Amazon"	"Amazon Root CA 1"	"8D:A7:F9:65:EC:5E:FC:37:91:0F:1C:6E:59:FD:C1:CC:6A:6E:DE:16"	"8E:CD:E6:88:4F:3D:87:B1:12:5B:A3:1A:C3:FC:B1:3D:70:16:DE:7F:57:CC:90:4F:E1:CB:97:C6:AE:98:19:6E"
"Amazon"	"Amazon Root CA 2"	"5A:8C:EF:45:D7:A6:98:59:76:7A:8C:8B:44:96:B5:78:CF:47:4B:1A"	"1B:A5:B2:AA:8C:65:40:1A:82:96:01:18:F8:0B:EC:4F:62:30:4D:83:CE:C4:71:3A:19:C3:9C:01:1E:A4:6D:B4"
"Amazon"	"Amazon Root CA 3"	"0D:44:DD:8C:3C:8C:1A:1A:58:75:64:81:E9:0F:2E:2A:FF:B3:D2:6E"	"18:CE:6C:FE:7B:F1:4E:60:B2:E3:47:B8:DF:E8:68:CB:31:D0:2E:BB:3A:DA:27:15:69:F5:03:43:B4:6D:B3:A4"
"Amazon"	"Amazon Root CA 4"	"F6:10:84:07:D6:F8:BB:67:98:0C:C2:E2:44:C2:EB:AE:1C:EF:63:BE"	"E3:5D:28:41:9E:D0:20:25:CF:A6:90:38:CD:62:39:62:45:8D:A5:C6:95:FB:DE:A3:C2:2B:0B:FB:25:89:70:92"
"Amazon"	"Starfield Services Root Certificate Authority - G2"	"92:5A:8F:8D:2C:6D:04:E0:66:5F:59:6A:FF:22:D8:63:E8:25:6F:3F"	"56:8D:69:05:A2:C8:87:08:A4:B3:02:51:90:ED:CF:ED:B1:97:4A:60:6A:13:C6:E5:29:0F:CB:2A:E6:3E:DA:B5"
"AS Sertifitseerimiskeskuse (SK)"	"EE Certification Centre Root CA"	"C9:A8:B9:E7:55:80:5E:58:E3:53:77:A7:25:EB:AF:C3:7B:27:CC:D7"	"3E:84:BA:43:42:90:85:16:E7:75:73:C0:99:2F:09:79:CA:08:4E:46:85:68:1F:F1:95:CC:BA:8A:22:9B:8A:76"
